DATES,SENDER,ARTICLE CONTENT
[\nJul 24\n],Sir Arthur,[Come 2021 me I want Bobi Wine to be on the ballot paper. At least we all know that\u2019s better than Besigye wasting space &amp; ink on there. He has had enough chances. Time to give others the mantle to see how difficult it is to win a Presidential election.]
[\nJul 24\n],ChimpReports,"['Museveni Underestimated Us,' Says Bobi Wine While Launching Nationwide Mobilization Team\r\n#BobiWine #featured https://chimpreports.com/museveni-underestimated-us-says-bobi-wine-while-launching-nationwide-mobilization-team/\xa0\u2026pic.twitter.com/C2kMcoVAgH]"
[\nJul 24\n],@AaronAinomugisha,[Bobi Wine has the Strongest team.\r\n@JoelSsenyonyi wenyweze.pic.twitter.com/Ag7YSLNaO2]
[\nJul 24\n],@AaronAinomugisha,"[Ghetto President Bobi Wine Vs President Museveni come 2021: People Power Unveils regional and district leaders,coordinators ahead of 2021 general\xa0elections. http://rapug.home.blog/2019/07/24/ghetto-president-bobi-wine-vs-president-museveni-come-2021-people-power-unveils-regional-and-district-leaderscoordinators-ahead-of-2021-general-elections/\xa0\u2026]"
[\nJul 23\n],Nasser Kaaya  🇺🇬,"[No. What is relevant to you is maligning Bobiwine and i understand because it's what puts food on your table. Also as you bootlick the old man, please tell him that a good number of hospitals do not have neonatal intensive care units for babies. Owulidde?]"
[\nJul 21\n],Kiggundu Joseph Dash,[Bobi wine is the uganda's most admired politician in Uganda https://twitter.com/FT/status/1152936295028731904\xa0\u2026pic.twitter.com/jL1D7U4tnR]
[\nJul 21\n],Nuwagaba Molly,[#KyagulanyiRobert_Ssentamu AKA Bobi Wine for president 2021 pic.twitter.com/ts0DC9FFkj]
[\nJul 20\n],@AaronAinomugisha,"[Kyadondo East MP has maintained that he is ready to challenge President @KagutaMuseveni come 2021,Asks people to stand strong for change.\r\n'Your National ID is Your Gun,'- Bobi Wine @HEBobiwine in Gulu.pic.twitter.com/9Be57tevzw]"
[\nJul 18\n],NBS Television,"[Kiggundu: This entire ""thing"" began when President Museveni brought his family into the limelight. If Muhoozi has presidential ambitions, people have a right to criticize him just like Bobi Wine. \r\n\r\n#NBSMorningBreeze #NBSUpdates]"
[\nJul 18\n],ONLYINUG,[How Bobi Wine has forgotten his core fans #ImpressiveUG https://observer.ug/viewpoint/61383-how-bobi-wine-has-forgotten-his-core-fans\xa0\u2026 via @observerug]
[\nJul 18\n],Kiggundu Joseph Dash,[Uganda badly needs the young democrat like #Bobiwine who truly understands the basic and international human rights which have been gradually and steadily abused by the current dictator President Yoweri museveni and his henchmen.]
[\n11h11 hours ago\n],Edward Mayega,"[Gen Tumukunde was answering questions asked by Kamara. So maybe that qn wasn't asked.However, others NRM refused them to consult, like Bobi wine who hz alrdy shown an interest to the ug's highest job, can't evn allowed to put a press conference into an hotel in Kampala.]"
[\n15h15 hours ago\n],Edward Mayega,[FDC to work with Hon Nambooze and Lukwago who are strong members of DP it's okay. But Winnie Kiiza and Robert Centenary to work with Bobi wine in PP is not acceptable and named to be political prostitutes...... Shame upon you FDC.]
[\n23h23 hours ago\n],Geozj32,[I will vote bobi wine for presidency cz he thinks before he speaks]
[\nJul 24\n],Benjamin B C Siya,[FULL LIST: Bobi Wine unveils People Power coordination team.Below is the full list\r\n\r\n1. WestNile;\r\nHon Kasiano Wadri(Team Leader)\r\nHon James Acidri\r\nHon Oguzu Lee\r\nHabib Asega\r\nAsara Night\r\n\r\n2. Acholi;\r\nHon Lucy Akello... https://www.facebook.com/100003600516442/posts/1628244667305535/\xa0\u2026]
[\nJul 24\n],masaba,[So Bobi Wine appointed his brother Nyanzi Ssentamu  and close friends Nubian Li and  MP Zaake Francis Butebi on national coordination team??\r\n\r\nFriends and family projects]
[\nJul 24\n],ssebunya shafique,[Bobi wine is free to run for the top seat but the question is; does he have support ? The answer is NO NO NO]
[\nJul 24\n],Allen Kisakye,[You are our inspiration \u2013 Peng Peng to @HEBobiwine despite being over lookedhttps://www.watchdoguganda.com/entertainment/showbiz/20190724/73066/bobi-wine-is-our-inspiration-peng-peng-to-bobi-wine-despite-missing-out-on-list-coordinators.html\xa0\u2026]
[\nJul 24\n],ChimpReports,"['Museveni Underestimated Us,' Says Bobi Wine While Launching Nationwide Mobilization Team\r\n#ChimpReportsNews #UgandaNews #Uganda #Featured #Launch @HEBobiwine @KagutaMuseveni @winniekiiza1 @NubianBukenAli @flaviakubula @ZaakeFrancis #PeoplePowerhttps://chimpreports.com/museveni-underestimated-us-says-bobi-wine-while-launching-nationwide-mobilization-team/\xa0\u2026]"
[\nJul 24\n],SERTS SULAIMAN,"[Full List: Bobi Wine unveils People Power countrywide coordination team \u2013 Top News, Breaking Information,Uncensored Leaks and Pictures https://eyalama.com/full-list-bobi-wine-unveils-people-power-countrywide-coordination-team/\xa0\u2026]"
[\nJul 24\n],Javira Ssebwami,[When Joel Ssenyonyi is introducing Bobi Wine: \u201cAllow me invite Uganda\u2019s 10th President...\u201d]
[\nJul 24\n],@AaronAinomugisha,[Mega Press Conference: Bobi Wine's People power pressure group announces its regional and district coordinators ahead of the 2021 presidential election campaigns.\r\nOpen here to see them #CroozefmNews  - http://bit.ly/2JYDpRB\xa0]
[\nJul 23\n],Mr.Simples  🇺🇬,"[I love Bobi Wine so much and his music is an inspiration, he is an inspiration himself too but I can't lie I will be Voting him come 2021, Nop! pic.twitter.com/ci7AmCG8fX]"
[\nJul 22\n],Nuwagaba Molly,"[Nuwagaba Molly Retweeted Future, #GenMusevenimustgoo we need a young of our generation that is Bobi wine https://twitter.com/Future13630138/status/1153197329681436677\xa0\u2026, Nuwagaba Molly added,]"
[\nJul 21\n],Kiggundu Joseph Dash,"[Kiggundu Joseph Dash Retweeted Financial Times, Uganda needs a new, fresh and clean young democrat (Bobi wine) to replace museveni. https://twitter.com/FT/status/1152936295028731904\xa0\u2026, Kiggundu Joseph Dash added,]"
[\nJul 21\n],Nuwagaba Molly,[Always speeking of history we need Bobi Wine for president 2021 a young and fresh organised leader updated about the current situation of Uganda]
[\nJul 19\n],ssebunya shafique,[will whites vote for Bobi wine? \r\nyou're funding a person who cant even get 1% in general elections]
[\nJul 18\n],The Observer,"[Opinion: How #BobiWine has forgotten his core fans. The singer himself has become less creative. He has also become too serious for his core fans. Thus, when government banned his concerts and music, he never gave his fans reason enough to defy https://observer.ug/viewpoint/61383-how-bobi-wine-has-forgotten-his-core-fans\xa0\u2026pic.twitter.com/4i7l5UMlJn]"
[\nJul 17\n],Nuwagaba Molly,"[Nuwagaba Molly Retweeted Joel Ssenyonyi, #Mission2021 #BobiWine for president https://twitter.com/JoelSsenyonyi/status/1151050382560378881\xa0\u2026, Nuwagaba Molly added,]"
[\nJul 17\n],Kulabako Ceaser,[It's youths who should've voted for BobiWine but all are going abroad ]
[\nJul 17\n],The Second Opinion,[Jose Chameleon: Stop dividing me &amp; Bobi Wine - THE SECOND OPINION https://shar.es/a0SU6T\xa0]
[\n17h17 hours ago\n],otim Francis,[Power over moneyhttps://www.bbc.com/news/world-africa-49095214\xa0\u2026]
[\n18h18 hours ago\n],Watchdog Uganda,"[The legislator, famously known as Bobi Wine also officially announced his presidential bid in the 2021 elections. #PeoplePower @Parliament_Ug @HEBobiwinehttps://www.watchdoguganda.com/news/20190725/73158/we-are-going-to-replace-all-party-members-who-joined-people-power-nrm.html\xa0\u2026]"
[\n18h18 hours ago\n],Dina_Namuyiga,"[His name is bobiwine\n#born &amp; raised in da ghettos\r\n#so young, talented,  determined,  forcused etc\r\n#am 100% sure his gonna lead uganda 2021 well\r\n#2021 u av ma vote Mr. President \r\n#the next 10th president of ugandapic.twitter.com/ORVZ7x0fie]"
[\nJul 25\n], 🇺🇬,"[These things happen but it is SHOCKING that Hon. Robert Kyagulanyi should disrespect his fellow member of parliament by sending his staffer (Ssenyonyi) to recruit him (Adome). Yes, Bobi Wine is now a presidential aspirant but this is when common sense &amp; protocol are needed most.]"
[\nJul 25\n],Muwanguzi Atah,[Tell your house boy Baguma canay to remove his mouth on bobi wine.]
[\nJul 24\n],@AaronAinomugisha,"[@AaronAinomugisha Retweeted 91.2 Crooze Fm, WILL BOBI WINE @HEBobiwine\r\n win the Presidential Election 2021!\r\n#CroozefmNews poll\r\n\n\n\n@HillaryTaylorVI @JChameleone @cobbo3https://twitter.com/912CroozeFM/status/1153677521898131458\xa0\u2026, @AaronAinomugisha added,]"
[\nJul 24\n],Nicholas Akampurira,"[For the first time, Opposition is organized\r\n\r\n Hon. Kyagulanyi aka Bobi Wine's appointed team to spearhead their mobilization activities across the country ahead of the 2021 presidential elections?\r\n1. WestNile\r\nHon... https://www.facebook.com/1636279965/posts/10216920864847314/\xa0\u2026]"
[\nJul 24\n],Storm is over,"[Meaning ur, ""political observers"" wanted Bobi wine to mention the  Hotels that rejected hosting ppl power???]"
[\nJul 24\n],Issa bin dudu saidi,[As much as we need change in UGA but Bobi Wine isn\u2019t the president Ugandan May choose.\r\n\r\nUGA needs someone who is good in Strategically and someone who doesn\u2019t take No sense( meaning that UGA needs Military Man.]
[\nJul 24\n],dudubaya,[They have started https://www.thegrapevine.co.ug/i-never-told-them-to-put-me-on-that-list-karamoja-people-power-leader-refuses-bobi-wine-appointment/\xa0\u2026]
[\nJul 24\n],Javira Ssebwami,[Barnabas Tinkasimire says People Power is a movement reminding Ugandans that President Museveni has been in power long enough and he can not continue leading...http://www.pmldaily.com/news/top-story/2019/07/six-nrm-mps-cross-to-bobi-wines-people-power-to-be-unveiled-today.html\xa0\u2026]
[\nJul 24\n],Javira Ssebwami,[People Power leaders and other 'forces of change' leaders have gathered Kyadondo East MP Robert Kyagulanyi real name Bobi Wine home as the popular group launches the steering committee towards the 2021... https://www.facebook.com/100003177417763/posts/2327151514067406/\xa0\u2026]
[\nJul 22\n],ALEL JAY,"[Between Bobi Wine and Bebe Cool,\r\nWho is the richest??]"
[\nJul 22\n],X-XONE LTD,"[Why Dr Stella Nyanzi in prison, Bobi Wine\u2019s Lawyer Armsterdam Wanted Dead - The Peoples Agency - T.P.A https://www.thepeoplesagency.org/why-dr-stella-nyanzi-in-prison-bobi-wines-lawyer-on-kill-list/\xa0\u2026]"
[\nJul 21\n],شعيب جيتا ستوبا,"[Good morning, why do we really have to support Mr Museveni or Mr Kyagulanyi aka Bobi wine? Can't we be without a leader we just have ministries. Kakogoso Vanansio Duncan Ssalongo Twesigye]"
[\nJul 18\n],masaba vincent,[we wish u good luck mr bobi wine]
[\nJul 18\n],Sserwanga Ronald,"[H. E Bobi Wine is the only hope we have left with, for us to get Uganda out the hand of the  detractors..\r\n\r\nWe yawn to see you heading Uganda in the very near future..\r\n\r\n#Mission_2021\n#Kyagulanyi_4_President]"
[\nJul 18\n],bruno ssentongo,[Bobi wine knows the problem of this generation hence the living solution.]
[\nJul 18\n],bruno ssentongo,"[Bobi wine unlike the current leaders who have lived to see this generation, Bobi is one of this error. He has witnessed the good, bad and worst situations that young men and women go through everyday. He has exemplified the solutions as he has managed to bit all odds and shined.]"
[\nJul 18\n],bruno ssentongo,[My president Bobi wine thanks for great work of awakening African youths into concerned citizens. My question is about the deliberate move to impoverish you before 2021. How have you prepared to manage logistical financing of our campaigns? Thanks]
[\nJul 19\n],Isaac Tibenderana,"[Isaac Tibenderana Retweeted Kifefe Kizza-Besigye, You're just introducing a new ideology of opposition after Bobi Wine became the captor of your previous one. https://twitter.com/kizzabesigye1/status/1152171419771576320\xa0\u2026, Isaac Tibenderana added,]"
[\nJul 19\n], 🍵 #TheyWalkAmongUs,"[Shya,  nga Bobi Wine was forced bail. \r\nCan't they dismiss the charges?]"
[\nJul 18\n],Muwanguzi Atah,[Bobi wine is our  next president]
[\nJul 18\n],Kiggundu Joseph Dash,[Uganda badly needs Bobi wine and his right mentality about human rights and human dignity.]
[\nJul 18\n],Kiggundu Joseph Dash,"[Kiggundu Joseph Dash Retweeted The Stream, Bobi wine is a true and genuine young democrat standing today. He truly understands the basic and international human rights which have been gradually and steadily abused by the current dictator for 34 years now https://twitter.com/AJStream/status/1151748554144309248\xa0\u2026, Kiggundu Joseph Dash added,]"
[\nJul 18\n],bruno ssentongo,"[Bobi wine is one of the few who believes that he doesn\u2019t know everything but something. With such a character, he is going to gather technocrats in different fields to man the responsibilities hence restoring strong and decisive institutions other than \u201cone strong man syndrome \u201c.]"
[\nJul 17\n],B o n g o m i n,[Every Ugandan has the same rights to vye for any office....Period!! Unfortunately the govt u serve doesn't tolerate anyone with a different political opinion!! Look at the treatment of Bobi Wine for example]
[\nJul 17\n],Alexandar Saint,[Mine is already in the hodulopu. Just waiting for that day to cast my vote.  Nze nonda omu yekka Bobi wine.]
[\nJul 18\n],Kiggundu Joseph Dash,"[Kiggundu Joseph Dash Retweeted Barry Malone, Roger that, we need change the current ugandan preside"
